"Zip Code","Name","Accounts","EIEC","S1901_C01_001E","S1901_C01_012E"
"61102","Rockford, IL",7403,"y","6320","41097"
"61103","Rockford, IL",11261,"y","10053","49192"
"61104","Rockford, IL",8894,"y","8049","29594"
"61105","Rockford, IL",3,"y",NA,NA
"61107","Rockford, IL",14332,"y","12776","69982"
"61108","Rockford, IL",13691,"n","11771","59783"
"61109","Rockford, IL",12998,"y","10891","58242"
"61111","Loves Park, IL",11614,"n","9660","56276"
"61112","Rockford, IL",52,"n","63","-"
"61114","Rockford, IL",7139,"n","6372","80930"
"61115","Machesney Park, IL",9895,"n","8558","70500"
"61125","Rockford, IL",1,"y",NA,NA
"61230","Albany, IL",145,"n","378","74583"
"61234","Annawan, IL",1,"n","478","70357"
"61242","Cordova, IL",1,"n","507","87375"
"61243","Deer Grove, IL",125,"n","114","126563"
"61250","Erie, IL",1276,"n","1159","81141"
"61251","Fenton, IL",173,"n","167","73125"
"61252","Fulton, IL",2889,"n","2433","67689"
"61254","Geneseo, IL",178,"n","4950","84009"
"61258","Hooppole, IL",96,"n","70","39457"
"61261","Lyndon, IL",562,"n","290","50441"
"61270","Morrison, IL",3550,"n","2770","82054"
"61277","Prophetstown, IL",1624,"n","1126","77727"
"61283","Tampico, IL",677,"n","487","67250"
"61310","Amboy, IL",2004,"n","1546","69071"
"61311","Ancona, IL",114,"n","93","-"
"61313","Blackstone, IL",122,"n","105","114792"
"61318","Compton, IL",349,"n","245","60750"
"61319","Cornell, IL",317,"n","600","74211"
"61321","Dana, IL",126,"n","117","76089"
"61324","Eldena, IL",44,"n","40","-"
"61325","Grand Ridge, IL",466,"n","400","81667"
"61330","La Moille, IL",22,"n","479","71023"
"61331","Lee Center, IL",46,"n","0","-"
"61332","Leonore, IL",77,"n","66","-"
"61333","Long Point, IL",199,"n","96","68750"
"61334","Lostant, IL",311,"n","259","92566"
"61338","Manlius, IL",1,"n","115","61375"
"61339","LaSalle, IL",3,"n",NA,NA
"61341","Marseilles, IL",98,"n","2873","72442"
"61342","Mendota, IL",3896,"n","3424","66967"
"61348","Oglesby, IL",41,"n","2010","66522"
"61349","Ohio, IL",433,"n","402","70294"
"61350","Ottawa, IL",18,"y","9958","72323"
"61353","Paw Paw, IL",601,"n","463","57639"
"61358","Rutland, IL",180,"n","168","68750"
"61360","Seneca, IL",1307,"n","1290","91822"
"61364","Streator, IL",8829,"n","8447","52845"
"61367","Sublette, IL",470,"n","349","56935"
"61369","Toluca, IL",735,"n","617","58984"
"61370","Tonica, IL",560,"n","487","81875"
"61375","Varna, IL",1,"n","468","77500"
"61376","Walnut, IL",926,"n","907","55398"
"61377","Wenona, IL",676,"n","672","46750"
"61378","West Brooklyn, IL",251,"n","167","100139"
"61516","Benson, IL",239,"n","279","84875"
"61554","Pekin, IL",1,"y","17247","58813"
"61738","El Paso, IL",15,"n","1490","78958"
"61739","Fairbury, IL",85,"n","1894","72143"
"61740","Flanagan, IL",75,"n","605","77179"
"61741","Forrest, IL",73,"n","654","84688"
"61743","Graymont, IL",3,"n","78","91250"
"61760","Minonk, IL",1178,"n","953","58192"
"61764","Pontiac, IL",6080,"y","5501","62256"
"61769","Saunemin, IL",318,"n","247","66563"
"61951","Sullivan, IL",1,"n","3010","76962"
"62656","Lincoln, IL",2,"y","6999","57379"
"62892","Vernon, IL",1,"n","85","67813"
